version;id;name;faulty;ef;ep;nf;np;tarantula;ochiai;tarantula_rank;ochiai_rank
23;615;org.joda.time.format.DateTimeFormatterBuilder$PaddedNumber.printTo(java.lang.StringBuffer,long,org.joda.time.Chronology,int,org.joda.time.DateTimeZone,java.util.Locale);False;0;398;1;3430;0.0;0.0;1729.5;1729.5
23;1499;org.joda.time.DateMidnight.withYear(int);False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;3352;org.joda.time.format.DateTimeFormat.longDate();False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;2161;org.joda.time.LocalTime$Property.getChronology();False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;622;org.joda.time.chrono.ISOChronology.toString();False;0;2;1;3826;0.0;0.0;1729.5;1729.5
23;1793;org.joda.time.Interval.withEndMillis(long);False;0;6;1;3822;0.0;0.0;1729.5;1729.5
23;1040;org.joda.time.DateMidnight(long);False;0;26;1;3802;0.0;0.0;1729.5;1729.5
23;679;org.joda.time.DateTimeFieldType$StandardDateTimeFieldType.equals(java.lang.Object);False;0;71;1;3757;0.0;0.0;1729.5;1729.5
23;1053;org.joda.time.chrono.CopticChronology.equals(java.lang.Object);False;0;53;1;3775;0.0;0.0;1729.5;1729.5
23;402;org.joda.time.base.BaseDateTime.checkInstant(long,org.joda.time.Chronology);False;0;1164;1;2664;0.0;0.0;1729.5;1729.5
23;2153;org.joda.time.LocalTime.plusMinutes(int);False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;1862;org.joda.time.LocalDateTime.toDateTime(org.joda.time.DateTimeZone);False;0;5;1;3823;0.0;0.0;1729.5;1729.5
23;3439;org.joda.time.format.PeriodFormatterBuilder.appendSeparator(java.lang.String,java.lang.String);False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;2716;org.joda.time.YearMonthDay.minus(org.joda.time.ReadablePeriod);False;0;2;1;3826;0.0;0.0;1729.5;1729.5
23;1074;org.joda.time.field.AbstractReadableInstantFieldProperty.get();False;0;102;1;3726;0.0;0.0;1729.5;1729.5
23;2693;org.joda.time.YearMonthDay.toDateTimeAtCurrentTime(org.joda.time.DateTimeZone);False;0;3;1;3825;0.0;0.0;1729.5;1729.5
23;1932;org.joda.time.LocalDateTime$Property.getMillis();False;0;32;1;3796;0.0;0.0;1729.5;1729.5
23;350;org.joda.time.chrono.GJChronology$CutoverField.getRangeDurationField();False;0;38;1;3790;0.0;0.0;1729.5;1729.5
23;2749;org.joda.time.chrono.BasicDayOfMonthDateTimeField.getMaximumValue(org.joda.time.ReadablePartial);False;0;7;1;3821;0.0;0.0;1729.5;1729.5
23;844;org.joda.time.format.DateTimeParserBucket.access$000(org.joda.time.format.DateTimeParserBucket);False;0;192;1;3636;0.0;0.0;1729.5;1729.5
